istat,ev
21001,1656
21002,1030
21003,398
21004,14934
21005,778
21006,3505
21007,1755
21008,107739
21009,655
21010,2232
21011,22377
21012,2808
21013,16716
21014,395
21015,8104
21016,2656
21017,5496
21018,2298
21019,6855
21020,1527
21021,2887
21022,5215
21023,3430
21024,2239
21025,665
21026,1378
21027,2389
21028,3351
21029,5384
21030,2823
21031,3579
21032,1000
21033,2629
21034,3311
21035,1726
21036,900
21037,5214
21038,5005
21039,2715
21040,18073
21041,12511
21042,4045
21043,342
21044,1574
21045,1274
21046,5272
21047,3081
21048,2791
21049,841
21050,1692
21051,40862
21052,2914
21053,1701
21054,2086
21055,2017
21056,5869
21057,3230
21058,1973
21059,3937
21060,3825
21061,4869
21062,3783
21063,1565
21064,724
21065,195
21066,1872
21067,3624
21068,546
21069,265
21070,4497
21071,2917
21072,7955
21073,1362
21074,3151
21075,1240
21076,3827
21077,3367
21079,3066
21080,3558
21081,3885
21082,1767
21083,3255
21084,1544
21085,1974
21086,7145
21087,2912
21088,1432
21089,2629
21091,1228
21092,1880
21093,6215
21094,1838
21095,1141
21096,1766
21097,4473
21098,3431
21099,1965
21100,1007
21101,2450
21102,1040
21103,969
21104,2896
21105,1057
21106,3205
21107,3093
21108,6022
21109,2320
21110,3339
21111,4694
21112,959
21113,1597
21114,1875
21115,6979
21116,2998
21117,1389
21118,762
